ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu4:memory, ReadInFlight, , Accumulator, 549676000, 4, 7898, 7898, 7898, 1, 1
cpu4:memory, ReadPending, , Accumulator, 549676000, 4, 7898, 7898, 7898, 1, 1
cpu4:memory, ReadBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, WriteInFlight, , Accumulator, 549676000, 4, 5752, 5752, 5752, 1, 1
cpu4:memory, WritePending, , Accumulator, 549676000, 4, 5752, 5752, 5752, 1, 1
cpu4:memory, WriteBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, FlushInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, FlushPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, ReadLockInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, ReadLockPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, ReadLockBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, WriteUnlockInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, WriteUnlockPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, WriteUnlockBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, LoadLinkInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, LoadLinkPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, StoreCondInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, StoreCondPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, CustomInFlight, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, CustomPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, CustomBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, FencePending, , Accumulator, 549676000, 4, 1406, 1406, 1406, 1, 1
cpu4:memory, AMOAddBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOAddPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOXorBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOXorPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOAndBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOAndPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOOrBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOOrPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMinBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMinPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMaxBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMaxPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMinuBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMinuPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMaxuBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOMaxuPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOSwapBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:memory, AMOSwapPending, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:remote_memory:xbgasNicIface:iface, packet_latency, , Accumulator, 549676000, 4, 2578, 114634, 58, 43, 46
cpu4:remote_memory:xbgasNicIface:iface, send_bit_count, , Accumulator, 549676000, 4, 0, 0, 58, 0, 0
cpu4:remote_memory:xbgasNicIface:iface, output_port_stalls, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:remote_memory:xbgasNicIface:iface, idle_time, , Accumulator, 549676000, 4, 62643800, 1482607501800000, 59, 53000, 38196000
cpu4:remote_memory, RmtReadInFlight, , Accumulator, 549676000, 4, 7, 7, 7, 1, 1
cpu4:remote_memory, RmtReadPending, , Accumulator, 549676000, 4, 7, 7, 7, 1, 1
cpu4:remote_memory, RmtReadBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4:remote_memory, RmtWriteInFlight, , Accumulator, 549676000, 4, 22, 22, 22, 1, 1
cpu4:remote_memory, RmtWritePending, , Accumulator, 549676000, 4, 22, 22, 22, 1, 1
cpu4:remote_memory, RmtWritesBytes, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
cpu4, TotalCycles, core_0, Accumulator, 549676000, 4, 1372395, 1883468036025, 1, 1372395, 1372395
cpu4, CyclesWithIssue, core_0, Accumulator, 549676000, 4, 27627, 763251129, 1, 27627, 27627
cpu4, FloatsRead, core_0, Accumulator, 549676000, 4, 0, 0, 1, 0, 0
cpu4, FloatsWritten, core_0, Accumulator, 549676000, 4, 0, 0, 1, 0, 0
cpu4, DoublesRead, core_0, Accumulator, 549676000, 4, 0, 0, 1, 0, 0
cpu4, DoublesWritten, core_0, Accumulator, 549676000, 4, 20, 400, 1, 20, 20
cpu4, BytesRead, core_0, Accumulator, 549676000, 4, 50846, 2585315716, 1, 50846, 50846
cpu4, BytesWritten, core_0, Accumulator, 549676000, 4, 94172, 8868365584, 1, 94172, 94172
cpu4, FloatsExec, core_0, Accumulator, 549676000, 4, 250, 62500, 1, 250, 250
cpu4, TLBHitsPerCore, core_0, Accumulator, 549676000, 4, 5015, 25150225, 1, 5015, 5015
cpu4, TLBMissesPerCore, core_0, Accumulator, 549676000, 4, 8635, 74563225, 1, 8635, 8635
memory4, requests_received_GetS, , Accumulator, 549676000, 4, 7898, 7898, 7898, 1, 1
memory4, requests_received_GetSX, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, requests_received_GetX, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, requests_received_Write, , Accumulator, 549676000, 4, 5752, 5752, 5752, 1, 1
memory4, requests_received_PutM, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, outstanding_requests, , Accumulator, 549676000, 4, 3429419, 183797857, 1374190, 0, 202
memory4, latency_GetS, , Accumulator, 549676000, 4, 1983789, 498281571, 7898, 251, 252
memory4, latency_GetSX, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, latency_GetX, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, latency_Write, , Accumulator, 549676000, 4, 1445630, 363326386, 5752, 251, 252
memory4, latency_PutM, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, cycles_with_issue, , Accumulator, 549676000, 4, 13650, 13650, 13650, 1, 1
memory4, cycles_attempted_issue_but_rejected, , Accumulator, 549676000, 4, 0, 0, 0, 0, 0
memory4, total_cycles, , Accumulator, 549676000, 4, 1374190, 1888398156100, 1, 1374190, 1374190
